time,demo_victim_network.S_1.port[0].vlarb.StaticFreeCreditsNum in vla
0.1873260234,0
0.1873276618,0
0.1873293002,0
0.1873309386,0
0.187332577,0
0.1873342154,0
0.187358001,15
0.187358683666,13
0.187359366332,11
0.187360048998,9
0.187360731664,7
0.18736141433,5
0.187362096996,3
0.187362779662,1
0.187408342333,14
0.187409024999,12
0.187409707665,10
0.187410390331,8
0.187411072997,6
0.187411755663,4
0.187412438329,2
0.187413120995,0
0.1874145546,0
0.187416193,0
0.1874178314,0
0.1874194698,0
0.1874211082,0
0.1874227466,0
0.187424385,0
0.1874260234,0
0.1874276618,0
0.1874293002,0
0.1874309386,0
0.187432577,0
0.187458001,15
0.187458683666,13
0.187459366332,11
0.187460048998,9
0.187460731664,7
0.18746141433,5
0.187462096996,3
0.187462779662,1
0.187508342333,15
0.187509024999,13
0.187509707665,11
0.187510390331,9
0.187511072997,7
0.187511755663,5
0.187512438329,3
0.187513120995,1
0.187558342333,14
0.187559024999,12
0.187559707665,10
0.187560390331,8
0.187561072997,6
0.187561755663,4
0.187562438329,2
0.187563120995,0
0.1875645546,0
0.187566193,0
0.1875678314,0
0.1875694698,0
0.1875711082,0
0.1875727466,0
0.187574385,0
0.1875760234,0
0.1875776618,0
0.1875793002,0
0.1875809386,0
0.187582577,0
0.187608001,15
0.187608683666,13
0.187609366332,11
0.187610048998,9
0.187610731664,7
0.18761141433,5
0.187612096996,3
0.187612779662,1
0.187658342333,14
0.187659024999,12
0.187659707665,10
0.187660390331,8
0.187661072997,6
0.187661755663,4
0.187662438329,2
0.187663120995,0
0.1876645546,0
0.187666193,0
0.1876678314,0
0.1876694698,0
0.1876711082,0
0.1876727466,0
0.187674385,0
0.1876760234,0
0.1876776618,0
0.1876793002,0
0.1876809386,0
0.187682577,0
0.187708001,16
0.187708683666,14
0.187709366332,12
0.187710048998,10
0.187710731664,8
0.18771141433,6
0.187712096996,4
0.187712779662,2
0.187713462328,0
0.1877145546,0
0.187716193,0
0.1877178314,0
0.1877194698,0
0.1877211082,0
0.1877227466,0
0.187724385,0
0.1877260234,0
0.1877276618,0
0.1877293002,0
0.1877309386,0
0.187732577,0
0.1877342154,0
0.187758001,15
0.187758683666,13
0.187759366332,11
0.187760048998,9
0.187760731664,7
0.18776141433,5
0.187762096996,3
0.187762779662,1
0.187808342333,14
0.187809024999,12
0.187809707665,10
0.187810390331,8
0.187811072997,6
0.187811755663,4
0.187812438329,2
0.187813120995,0
0.1878145546,0
0.187816193,0
0.1878178314,0
0.1878194698,0
0.1878211082,0
0.1878227466,0
0.187824385,0
0.1878260234,0
0.1878276618,0
0.1878293002,0
0.1878309386,0
0.187832577,0
0.187858001,15
0.187858683666,13
0.187859366332,11
0.187860048998,9
0.187860731664,7
0.18786141433,5
0.187862096996,3
0.187862779662,1
0.187908342333,15
0.187909024999,13
0.187909707665,11
0.187910390331,9
0.187911072997,7
0.187911755663,5
0.187912438329,3
0.187913120995,1
0.187958342333,14
0.187959024999,12
0.187959707665,10
0.187960390331,8
0.187961072997,6
0.187961755663,4
0.187962438329,2
0.187963120995,0
0.1879645546,0
0.187966193,0
0.1879678314,0
0.1879694698,0
0.1879711082,0
0.1879727466,0
0.187974385,0
0.1879760234,0
0.1879776618,0
0.1879793002,0
0.1879809386,0
0.187982577,0
0.188008001,15
0.188008683666,13
0.188009366332,11
0.188010048998,9
0.188010731664,7
0.18801141433,5
0.188012096996,3
0.188012779662,1
0.188058342333,14
0.188059024999,12
0.188059707665,10
0.188060390331,8
0.188061072997,6
0.188061755663,4
0.188062438329,2
0.188063120995,0
0.1880645546,0
0.188066193,0
0.1880678314,0
0.1880694698,0
0.1880711082,0
0.1880727466,0
0.188074385,0
0.1880760234,0
0.1880776618,0
0.1880793002,0
0.1880809386,0
0.188082577,0
0.188108001,16
0.188108683666,14
0.188109366332,12
0.188110048998,10
0.188110731664,8
0.18811141433,6
0.188112096996,4
0.188112779662,2
0.188113462328,0
0.1881145546,0
0.188116193,0
0.1881178314,0
0.1881194698,0
0.1881211082,0
0.1881227466,0
0.188124385,0
0.1881260234,0
0.1881276618,0
0.1881293002,0
0.1881309386,0
0.188132577,0
0.1881342154,0
0.188158001,15
0.188158683666,13
0.188159366332,11
0.188160048998,9
0.188160731664,7
0.18816141433,5
0.188162096996,3
0.188162779662,1
0.188208342333,14
0.188209024999,12
0.188209707665,10
0.188210390331,8
0.188211072997,6
0.188211755663,4
0.188212438329,2
0.188213120995,0
0.1882145546,0
0.188216193,0
0.1882178314,0
0.1882194698,0
0.1882211082,0
0.1882227466,0
0.188224385,0
0.1882260234,0
0.1882276618,0
0.1882293002,0
0.1882309386,0
0.188232577,0
0.188258001,15
0.188258683666,13
0.188259366332,11
0.188260048998,9
0.188260731664,7
0.18826141433,5
0.188262096996,3
0.188262779662,1
0.188308342333,15
0.188309024999,13
0.188309707665,11
0.188310390331,9
0.188311072997,7
0.188311755663,5
0.188312438329,3
0.188313120995,1
0.188358342333,14
0.188359024999,12
0.188359707665,10
0.188360390331,8
0.188361072997,6
0.188361755663,4
0.188362438329,2
0.188363120995,0
