time,demo_victim_network.H_2.gen.Throughput
0.0516,1.72032e+009
0.0518,1.6384e+009
0.052,1.6384e+009
0.0522,1.72032e+009
0.0524,1.6384e+009
0.0526,1.6384e+009
0.0528,1.72032e+009
0.053,1.6384e+009
0.0532,1.72032e+009
0.0534,1.6384e+009
0.0536,1.6384e+009
0.0538,1.72032e+009
0.054,1.6384e+009
0.0542,1.6384e+009
0.0544,1.72032e+009
0.0546,1.6384e+009
0.0548,1.6384e+009
0.055,1.72032e+009
0.0552,1.6384e+009
0.0554,1.6384e+009
0.0556,1.72032e+009
0.0558,1.6384e+009
0.056,1.6384e+009
0.0562,1.72032e+009
0.0564,1.6384e+009
0.0566,1.6384e+009
0.0568,1.72032e+009
0.057,1.6384e+009
0.0572,1.6384e+009
0.0574,1.72032e+009
0.0576,1.6384e+009
0.0578,1.6384e+009
0.058,1.72032e+009
0.0582,1.6384e+009
0.0584,1.6384e+009
0.0586,1.72032e+009
0.0588,1.6384e+009
0.059,1.6384e+009
0.0592,1.72032e+009
0.0594,1.6384e+009
0.0596,1.6384e+009
0.0598,1.72032e+009
0.06,1.6384e+009
0.0602,1.72032e+009
0.0604,1.6384e+009
0.0606,1.6384e+009
0.0608,1.72032e+009
0.061,1.6384e+009
0.0612,1.6384e+009
0.0614,1.72032e+009
0.0616,1.6384e+009
0.0618,1.6384e+009
0.062,1.72032e+009
0.0622,1.6384e+009
0.0624,1.6384e+009
0.0626,1.72032e+009
0.0628,1.6384e+009
0.063,1.6384e+009
0.0632,1.72032e+009
0.0634,1.6384e+009
0.0636,1.6384e+009
0.0638,1.72032e+009
0.064,1.6384e+009
0.0642,1.6384e+009
0.0644,1.72032e+009
0.0646,1.6384e+009
0.0648,1.6384e+009
0.065,1.72032e+009
0.0652,1.6384e+009
0.0654,1.6384e+009
0.0656,1.72032e+009
0.0658,1.6384e+009
0.066,1.6384e+009
0.0662,1.72032e+009
0.0664,1.6384e+009
0.0666,1.6384e+009
0.0668,1.72032e+009
0.067,1.6384e+009
0.0672,1.6384e+009
0.0674,1.72032e+009
0.0676,1.6384e+009
0.0678,1.72032e+009
0.068,1.6384e+009
0.0682,1.6384e+009
0.0684,1.72032e+009
0.0686,1.6384e+009
0.0688,1.6384e+009
0.069,1.72032e+009
0.0692,1.6384e+009
0.0694,1.6384e+009
0.0696,1.72032e+009
0.0698,1.6384e+009
0.07,1.6384e+009
0.0702,1.72032e+009
0.0704,1.6384e+009
0.0706,1.6384e+009
0.0708,1.72032e+009
0.071,1.6384e+009
0.0712,1.6384e+009
0.0714,1.72032e+009
0.0716,1.6384e+009
0.0718,1.6384e+009
0.072,1.72032e+009
0.0722,1.6384e+009
0.0724,1.6384e+009
0.0726,1.72032e+009
0.0728,1.6384e+009
0.073,1.6384e+009
0.0732,1.72032e+009
0.0734,1.6384e+009
0.0736,1.6384e+009
0.0738,1.72032e+009
0.074,1.6384e+009
0.0742,1.6384e+009
0.0744,1.72032e+009
0.0746,1.6384e+009
0.0748,1.72032e+009
0.075,1.6384e+009
0.0752,1.6384e+009
0.0754,1.72032e+009
0.0756,1.6384e+009
0.0758,1.6384e+009
0.076,1.72032e+009
0.0762,1.6384e+009
0.0764,1.6384e+009
0.0766,1.72032e+009
0.0768,1.6384e+009
0.077,1.6384e+009
0.0772,1.72032e+009
0.0774,1.6384e+009
0.0776,1.6384e+009
0.0778,1.72032e+009
0.078,1.6384e+009
0.0782,1.6384e+009
0.0784,1.72032e+009
0.0786,1.6384e+009
0.0788,1.6384e+009
0.079,1.72032e+009
0.0792,1.6384e+009
0.0794,1.6384e+009
0.0796,1.72032e+009
0.0798,1.6384e+009
0.08,1.6384e+009
0.0802,1.72032e+009
0.0804,1.6384e+009
0.0806,1.6384e+009
0.0808,1.72032e+009
0.081,1.6384e+009
0.0812,1.6384e+009
0.0814,1.72032e+009
0.0816,1.6384e+009
0.0818,1.6384e+009
0.082,1.72032e+009
0.0822,1.6384e+009
0.0824,1.72032e+009
0.0826,1.6384e+009
0.0828,1.6384e+009
0.083,1.72032e+009
0.0832,1.6384e+009
0.0834,1.6384e+009
0.0836,1.72032e+009
0.0838,1.6384e+009
0.084,1.6384e+009
0.0842,1.72032e+009
0.0844,1.6384e+009
0.0846,1.6384e+009
0.0848,1.72032e+009
0.085,1.6384e+009
0.0852,1.6384e+009
0.0854,1.72032e+009
0.0856,1.6384e+009
0.0858,1.6384e+009
0.086,1.72032e+009
0.0862,1.6384e+009
0.0864,1.6384e+009
0.0866,1.72032e+009
0.0868,1.6384e+009
0.087,1.6384e+009
0.0872,1.72032e+009
0.0874,1.6384e+009
0.0876,1.6384e+009
0.0878,1.72032e+009
0.088,1.6384e+009
0.0882,1.6384e+009
0.0884,1.72032e+009
0.0886,1.6384e+009
0.0888,1.6384e+009
0.089,1.72032e+009
0.0892,1.6384e+009
0.0894,1.72032e+009
0.0896,1.6384e+009
0.0898,1.6384e+009
0.09,1.72032e+009
0.0902,1.6384e+009
0.0904,1.6384e+009
0.0906,1.72032e+009
0.0908,1.6384e+009
0.091,1.6384e+009
0.0912,1.72032e+009
0.0914,1.6384e+009
0.0916,1.6384e+009
0.0918,1.72032e+009
0.092,1.6384e+009
0.0922,1.6384e+009
0.0924,1.72032e+009
0.0926,1.6384e+009
0.0928,1.6384e+009
0.093,1.72032e+009
0.0932,1.6384e+009
0.0934,1.6384e+009
0.0936,1.72032e+009
0.0938,1.6384e+009
0.094,1.6384e+009
0.0942,1.72032e+009
0.0944,1.6384e+009
0.0946,1.6384e+009
0.0948,1.72032e+009
0.095,1.6384e+009
0.0952,1.6384e+009
0.0954,1.72032e+009
0.0956,1.6384e+009
0.0958,1.6384e+009
0.096,1.72032e+009
0.0962,1.6384e+009
0.0964,1.6384e+009
0.0966,1.72032e+009
0.0968,1.6384e+009
0.097,1.72032e+009
0.0972,1.6384e+009
0.0974,1.6384e+009
0.0976,1.72032e+009
0.0978,1.6384e+009
0.098,1.6384e+009
0.0982,1.72032e+009
0.0984,1.6384e+009
0.0986,1.6384e+009
0.0988,1.72032e+009
0.099,1.6384e+009
0.0992,1.6384e+009
0.0994,1.72032e+009
0.0996,1.6384e+009
0.0998,1.6384e+009
0.1,1.72032e+009
0.1002,1.6384e+009
0.1004,1.6384e+009
0.1006,1.72032e+009
0.1008,1.6384e+009
0.101,1.6384e+009
0.1012,1.72032e+009
0.1014,1.6384e+009
0.1016,1.6384e+009
0.1018,1.72032e+009
0.102,1.6384e+009
0.1022,1.6384e+009
0.1024,1.72032e+009
0.1026,1.6384e+009
0.1028,1.6384e+009
0.103,1.72032e+009
0.1032,1.6384e+009
0.1034,1.6384e+009
0.1036,1.72032e+009
0.1038,1.6384e+009
0.104,1.72032e+009
0.1042,1.6384e+009
0.1044,1.6384e+009
0.1046,1.72032e+009
0.1048,1.6384e+009
0.105,1.6384e+009
0.1052,1.72032e+009
0.1054,1.6384e+009
0.1056,1.6384e+009
0.1058,1.72032e+009
0.106,1.6384e+009
0.1062,1.6384e+009
0.1064,1.72032e+009
0.1066,1.6384e+009
0.1068,1.6384e+009
0.107,1.72032e+009
0.1072,1.6384e+009
0.1074,1.6384e+009
0.1076,1.72032e+009
0.1078,1.6384e+009
0.108,1.6384e+009
0.1082,1.72032e+009
0.1084,1.6384e+009
0.1086,1.6384e+009
0.1088,1.72032e+009
0.109,1.6384e+009
0.1092,1.6384e+009
0.1094,1.72032e+009
0.1096,1.6384e+009
0.1098,1.6384e+009
0.11,1.72032e+009
0.1102,1.6384e+009
0.1104,1.6384e+009
0.1106,1.72032e+009
0.1108,1.6384e+009
0.111,1.6384e+009
0.1112,1.72032e+009
0.1114,1.6384e+009
0.1116,1.72032e+009
0.1118,1.6384e+009
0.112,1.6384e+009
0.1122,1.72032e+009
0.1124,1.6384e+009
0.1126,1.6384e+009
0.1128,1.72032e+009
0.113,1.6384e+009
0.1132,1.6384e+009
0.1134,1.72032e+009
0.1136,1.6384e+009
0.1138,1.6384e+009
0.114,1.72032e+009
0.1142,1.6384e+009
0.1144,1.6384e+009
0.1146,1.72032e+009
0.1148,1.6384e+009
0.115,1.6384e+009
0.1152,1.72032e+009
0.1154,1.6384e+009
0.1156,1.6384e+009
0.1158,1.72032e+009
0.116,1.6384e+009
0.1162,1.6384e+009
0.1164,1.72032e+009
0.1166,1.6384e+009
0.1168,1.6384e+009
0.117,1.72032e+009
0.1172,1.6384e+009
0.1174,1.6384e+009
0.1176,1.72032e+009
0.1178,1.6384e+009
0.118,1.6384e+009
0.1182,1.72032e+009
0.1184,1.6384e+009
0.1186,1.72032e+009
0.1188,1.6384e+009
0.119,1.6384e+009
0.1192,1.72032e+009
0.1194,1.6384e+009
0.1196,1.6384e+009
0.1198,1.72032e+009
0.12,1.6384e+009
